Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
148862,391261176,12.1059,-2.89352,-7.98278,-8.62883,8.49101,-0.892805,-1.91854,1,41.6457,-3.32586,-13.1601,-39.3715,13.5738,-1.78652,-1.81834,-1,9.9753
148862,414416493,12.0888,3.92839,7.35071,8.75636,8.33458,0.916709,1.07999,-1,29.0144,-5.6533,16.3292,23.3074,17.2801,1.10786,1.90409,1,9.8832
148862,919207426,11.6059,-5.6011,-9.05877,4.61115,10.6505,0.420453,-2.12457,1,12.6982,1.31229,-12.5972,-0.912842,12.6654,-0.0720116,-1.467,-1,9.46767
148862,941875219,23.6798,-0.358002,21.5726,9.75856,21.5755,0.438144,1.58739,1,13.4749,-8.00131,9.46492,5.2884,12.3938,0.414708,2.27259,-1,10.9935
148862,942132620,46.2068,11.328,19.0684,-40.5357,22.1794,-1.36378,1.03475,1,11.9758,-2.27076,3.38339,-11.2612,4.07476,-1.74094,2.1619,1,10.7784
148862,943028132,6.95885,3.3016,5.36949,2.9485,6.30333,0.452199,1.01951,1,58.4256,-1.50546,49.4605,31.0636,49.4834,0.592482,1.60122,-1,10.4285
148862,950777901,6.98987,4.27141,-0.196288,-5.52945,4.27592,-1.07427,-0.0459216,-1,7.86837,1.84288,-7.61806,0.69295,7.8378,0.0882965,-1.33345,-1,9.94621
148862,955196934,12.0334,4.5044,1.56428,11.0483,4.76829,1.57705,0.334248,1,4.53067,-3.86754,-1.31253,1.96122,4.08419,0.463431,-2.81442,1,10.2299
148862,622134282,29.9525,-29.7659,-3.32925,-0.249427,29.9515,-0.0083276,-3.03021,1,4.48672,-3.25636,0.272196,3.07451,3.26772,0.838941,3.0582,-1,8.84681
148862,623339795,5.06024,2.48607,-1.72027,-4.05785,3.02323,-1.10394,-0.605312,1,20.1577,-5.25681,-2.89603,-19.2435,6.00176,-1.88174,-2.63805,-1,8.00032
148862,1120861460,51.6041,24.1062,-1.79903,-45.5921,24.1733,-1.39148,-0.074491,-1,13.6871,1.98117,3.25452,-13.1461,3.81011,-1.95198,1.02397,-1,11.4061
148862,1121846119,6.40903,-3.78966,-1.71501,4.87575,4.15966,0.998021,-2.71662,1,58.8001,-3.14298,-14.1717,56.9801,14.5161,2.07644,-1.78904,-1,11.2085
148862,338375184,32.3857,-9.81477,7.47276,29.9443,12.3358,1.61994,2.49085,-1,39.1251,-13.6014,-2.34992,36.6095,13.8029,1.70236,-2.97051,1,10.4799
148862,338345939,7.56248,-5.27337,1.47779,5.21525,5.47653,0.847233,2.86836,1,19.3165,-14.938,-11.6304,3.83594,18.9318,0.201258,-2.48005,-1,11.3568
148862,339889367,52.7246,23.6166,12.1241,-45.5537,26.5469,-1.30889,0.474287,-1,11.8945,1.52183,4.05901,-11.0765,4.33492,-1.66753,1.21209,1,8.64949
148862,1043092837,22.5157,-15.7829,-5.18023,15.1994,16.6113,0.819976,-2.82445,1,3.95922,-3.24465,-1.77006,-1.41934,3.69606,-0.375152,-2.64219,-1,10.0338
148862,1166881392,7.14528,-2.91819,5.09469,4.07227,5.87126,0.647411,2.09097,-1,16.5365,-5.71092,13.9973,-6.70201,15.1176,-0.429956,1.95818,-1,10.7213
