Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GG,148031,11103650,55.5429067652,4.00746638501,40.319935009,37.9900826833,40.41,0.836524,1.47174,1,41.3899890377,-2.94596620156,-36.0207324209,-20.1729558531,36.2136,-0.53252,-1.65239,-1,95.178392268
GT,148031,115564751,112.883980897,-2.41967842135,-45.4366169222,-103.307506883,45.501,-1.55843,-1.624,1,31.4233992647,-5.91249753268,30.1024503103,-6.80468337956,30.6742,-0.220038,1.76473,-1,91.6262173332
TT,148031,115564751,31.4199506669,-5.91154125884,30.0991731711,-6.80408631492,30.6742,-0.220038,1.76473,-1,112.883980897,-2.41967842135,-45.4366169222,-103.307506883,45.501,-1.55843,-1.624,1,91.6210418296
GT,148031,115564751,31.4199506669,-5.91154125884,30.0991731711,-6.80408631492,30.6742,-0.220038,1.76473,-1,114.280874272,-2.45426578043,-45.9994738175,-104.585525044,45.501,-1.55843,-1.624,1,92.186108396
GG,148031,115564751,31.4233992647,-5.91249753268,30.1024503103,-6.80468337956,30.6742,-0.220038,1.76473,-1,114.280874272,-2.45426578043,-45.9994738175,-104.585525044,45.501,-1.55843,-1.624,1,92.1913158034
GT,148031,11663211,73.3454800196,20.987725662,8.51319290841,-69.7609431821,22.6486,-1.84349,0.385348,1,32.4515186298,-19.3115758438,-7.38563530901,25.012103614,21.0758,1.02225,-2.7761,-1,95.8460506029
TT,148031,11663211,33.0810183007,-19.6836969476,-7.53269009823,25.4981031154,21.0758,1.02225,-2.7761,-1,73.3454800196,20.987725662,8.51319290841,-69.7609431821,22.6486,-1.84349,0.385348,1,96.7715798016
GT,148031,11663211,33.0810183007,-19.6836969476,-7.53269009823,25.4981031154,21.0758,1.02225,-2.7761,-1,73.5420122874,21.0461752713,8.53457339828,-69.9473800149,22.6486,-1.84349,0.385348,1,96.9013535384
GG,148031,11663211,32.4515186298,-19.3115758438,-7.38563530901,25.012103614,21.0758,1.02225,-2.7761,-1,73.5420122874,21.0461752713,8.53457339828,-69.9473800149,22.6486,-1.84349,0.385348,1,95.9745832872
GT,148031,118452259,36.7696968713,-32.9500113208,-15.821384785,3.99749693612,36.5516,0.109149,-2.69394,1,76.956582837,58.1741645372,-42.4604739881,-27.1141883037,73.4984,-0.368638,-0.630382,-1,91.4672198603
TT,148031,118452259,78.549277217,59.3721836269,-43.3238804117,-27.7121450822,73.4984,-0.368638,-0.630382,-1,36.7696968713,-32.9500113208,-15.821384785,3.99749693612,36.5516,0.109149,-2.69394,1,92.4109715537
GT,148031,118452259,78.549277217,59.3721836269,-43.3238804117,-27.7121450822,73.4984,-0.368638,-0.630382,-1,36.8435226827,-33.0165861024,-15.8525389812,4.0045037104,36.5516,0.109149,-2.69394,1,92.5039451927
GG,148031,118452259,76.956582837,58.1741645372,-42.4604739881,-27.1141883037,73.4984,-0.368638,-0.630382,-1,36.8435226827,-33.0165861024,-15.8525389812,4.0045037104,36.5516,0.109149,-2.69394,1,91.5592445361
GT,148031,120081777,71.3816276508,-21.8782420208,37.1913429002,-56.8636275817,43.1492,-1.08928,2.10254,1,37.1087505103,22.7301885647,-29.3323494076,0.00260512391536,37.1193,4.97306e-05,-0.911539,-1,92.0570295359
TT,148031,120081777,37.1194504214,22.7366839707,-29.3408526547,0.00184596506135,37.1193,4.97306e-05,-0.911539,-1,71.3816276508,-21.8782420208,37.1913429002,-56.8636275817,43.1492,-1.08928,2.10254,1,92.0698355301
GT,148031,120081777,37.1194504214,22.7366839707,-29.3408526547,0.00184596506135,37.1193,4.97306e-05,-0.911539,-1,70.9659582204,-21.7533822383,36.9748604011,-56.5314613464,43.1492,-1.08928,2.10254,1,91.8020326002
GG,148031,120081777,37.1087505103,22.7301885647,-29.3323494076,0.00260512391536,37.1193,4.97306e-05,-0.911539,-1,70.9659582204,-21.7533822383,36.9748604011,-56.5314613464,43.1492,-1.08928,2.10254,1,91.7892638413
GT,148031,12321218,41.3409548455,-25.2091725778,3.76855840261,-32.5477951535,25.4893,-1.0643,2.9932,1,41.2330742031,21.603726233,-2.3824770595,35.039378711,21.7264,1.25542,-0.109849,-1,82.4459933523
TT,148031,12321218,41.2180288356,21.5954476686,-2.38182638988,35.0268223001,21.7264,1.25542,-0.109849,-1,41.3409548455,-25.2091725778,3.76855840261,-32.5477951535,25.4893,-1.0643,2.9932,1,82.4309297379
GT,148031,12321218,41.2180288356,21.5954476686,-2.38182638988,35.0268223001,21.7264,1.25542,-0.109849,-1,41.7866485515,-25.4806095956,3.81148047986,-32.8986927501,25.4893,-1.0643,2.9932,1,82.8740558844
TT,148031,12321218,14.2583332326,2.94548062926,0.310965086693,-13.9469117534,2.96185,-2.25368,0.105184,1,41.3409548455,-25.2091725778,3.76855840261,-32.5477951535,25.4893,-1.0643,2.9932,1,20.4256841586
TT,148031,12321218,14.2583332326,2.94548062926,0.310965086693,-13.9469117534,2.96185,-2.25368,0.105184,1,41.2180288356,21.5954476686,-2.38182638988,35.0268223001,21.7264,1.25542,-0.109849,-1,45.0190902996
GT,148031,12321218,14.2583332326,2.94548062926,0.310965086693,-13.9469117534,2.96185,-2.25368,0.105184,1,41.7866485515,-25.4806095956,3.81148047986,-32.8986927501,25.4893,-1.0643,2.9932,1,20.5354017954
GT,148031,12321218,14.2583332326,2.94548062926,0.310965086693,-13.9469117534,2.96185,-2.25368,0.105184,1,41.2330742031,21.603726233,-2.3824770595,35.039378711,21.7264,1.25542,-0.109849,-1,45.027207524
GG,148031,12321218,41.2330742031,21.603726233,-2.3824770595,35.039378711,21.7264,1.25542,-0.109849,-1,41.7866485515,-25.4806095956,3.81148047986,-32.8986927501,25.4893,-1.0643,2.9932,1,82.8892004695
GT,148031,123369190,105.725501996,-32.1493594053,29.1204424703,-96.417265719,43.3772,-1.53904,2.40559,1,68.4566907564,33.4463484733,-30.8019908612,-51.1750571901,45.4013,-0.967346,-0.744256,-1,92.4739568992
TT,148031,123369190,68.3527171595,33.3968380598,-30.7559628251,-51.0960344617,45.4013,-0.967346,-0.744256,-1,105.725501996,-32.1493594053,29.1204424703,-96.417265719,43.3772,-1.53904,2.40559,1,92.4057440004
GT,148031,123369190,68.3527171595,33.3968380598,-30.7559628251,-51.0960344617,45.4013,-0.967346,-0.744256,-1,105.623165293,-32.1317144217,29.1038749537,-96.3159346832,43.3772,-1.53904,2.40559,1,92.374179812
GG,148031,123369190,68.4566907564,33.4463484733,-30.8019908612,-51.1750571901,45.4013,-0.967346,-0.744256,-1,105.623165293,-32.1317144217,29.1038749537,-96.3159346832,43.3772,-1.53904,2.40559,1,92.4423698214
GT,148031,124112566,196.161135191,-51.0987831832,15.3578144095,-188.765017123,53.3568,-1.97605,2.84963,-1,29.8751487927,23.6728578039,9.7326986826,-15.4072622955,25.6255,-0.570486,0.390047,1,89.5788298874
TT,148031,124112566,29.9099793495,23.7007991888,9.74363218006,-15.4249619367,25.6255,-0.570486,0.390047,1,196.161135191,-51.0987831832,15.3578144095,-188.765017123,53.3568,-1.97605,2.84963,-1,89.6318533407
GT,148031,124112566,29.9099793495,23.7007991888,9.74363218006,-15.4249619367,25.6255,-0.570486,0.390047,1,195.962881976,-51.0481218686,15.342588077,-188.573948873,53.3568,-1.97605,2.84963,-1,89.5868258586
TT,148031,124112566,8.67840117084,-2.19403806567,2.41388503587,-8.04132073677,3.262,-1.63421,2.30852,-1,196.161135191,-51.0987831832,15.3578144095,-188.765017123,53.3568,-1.97605,2.84963,-1,8.39898430018
TT,148031,124112566,8.67840117084,-2.19403806567,2.41388503587,-8.04132073677,3.262,-1.63421,2.30852,-1,29.9099793495,23.7007991888,9.74363218006,-15.4249619367,25.6255,-0.570486,0.390047,1,18.1121696604
GT,148031,124112566,8.67840117084,-2.19403806567,2.41388503587,-8.04132073677,3.262,-1.63421,2.30852,-1,195.962881976,-51.0481218686,15.342588077,-188.573948873,53.3568,-1.97605,2.84963,-1,8.39467643897
GT,148031,124112566,8.67840117084,-2.19403806567,2.41388503587,-8.04132073677,3.262,-1.63421,2.30852,-1,29.8751487927,23.6728578039,9.7326986826,-15.4072622955,25.6255,-0.570486,0.390047,1,18.1014080996
TT,148031,124112566,6.03288979059,-0.647688030799,0.852445401688,-5.93619681166,1.07059,-2.41404,2.22054,-1,196.161135191,-51.0987831832,15.3578144095,-188.765017123,53.3568,-1.97605,2.84963,-1,5.7785140245
TT,148031,124112566,6.03288979059,-0.647688030799,0.852445401688,-5.93619681166,1.07059,-2.41404,2.22054,-1,29.9099793495,23.7007991888,9.74363218006,-15.4249619367,25.6255,-0.570486,0.390047,1,13.8516405082
