Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET,Mt
146944,427922692,37.26,-29.83,-14.24,17.18,33.06,0.50,-2.70,-1,37.49,0.53,70.35
146944,428132237,40.57,-39.46,8.17,-4.73,40.30,-0.12,2.94,-1,28.57,-0.49,67.14
146944,429056581,90.20,-40.79,13.08,-79.38,42.84,-1.38,2.83,-1,26.78,-0.57,67.16
146944,427905462,37.94,10.27,34.19,-12.85,35.69,-0.35,1.28,-1,29.61,-1.76,64.93
146944,428232335,27.08,25.48,-8.51,3.46,26.86,0.13,-0.32,1,56.91,-2.76,73.38
146944,428683719,151.24,5.07,-36.90,-146.58,37.25,-2.08,-1.43,1,33.56,1.92,70.33
146944,428901151,115.84,32.18,-20.86,109.31,38.35,1.77,-0.58,1,31.04,2.92,67.92
146944,428732849,40.06,-12.90,31.17,21.61,33.73,0.60,1.96,-1,51.25,-1.26,83.09
146944,430254186,49.08,12.59,35.91,-31.00,38.05,-0.74,1.23,-1,32.14,-1.90,69.94
146944,429213131,70.05,-20.50,30.48,-59.65,36.73,-1.26,2.16,-1,41.75,-1.06,78.26
146944,429969507,46.65,31.48,-21.04,-27.26,37.86,-0.67,-0.59,1,37.00,2.87,73.93
146944,429304552,103.68,15.50,-21.56,100.22,26.55,2.04,-0.95,1,23.69,1.89,49.58
146944,429876625,101.26,24.08,-38.80,-90.37,45.66,-1.43,-1.02,1,42.92,1.10,77.24
146944,726635735,72.67,30.67,29.25,59.03,42.38,1.13,0.76,1,39.35,-2.39,81.67
146944,726634671,119.94,-30.47,24.35,113.43,39.00,1.79,2.47,1,33.93,-0.59,72.68
146944,727010659,31.39,9.45,-25.73,-15.31,27.41,-0.53,-1.22,-1,35.83,1.71,62.31
146944,726277957,116.77,18.34,37.56,109.03,41.80,1.69,1.12,1,40.63,-2.12,82.33
146944,727290863,31.38,12.67,22.42,17.95,25.75,0.65,1.06,1,33.25,-2.47,57.42
146944,728100631,165.06,-38.77,-23.88,-158.66,45.53,-1.96,-2.59,-1,43.53,-0.10,84.39
146944,732123563,36.22,27.56,18.82,14.08,33.38,0.41,0.60,-1,33.06,-2.85,65.64
