Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142035,310514396,55.4806025078,11.046111136,39.1101157858,37.7687638977,40.6401,0.830522,1.29553,1,133.226748612,-10.3932652168,-35.0209190983,128.120575276,36.5306,1.9677,-1.85929,-1,89.8556830576
GSF-GSF,142035,178390974,60.7741611341,-22.7405507889,18.4056834554,-53.2690982433,29.2558,-1.3605,2.46116,1,54.8345777938,30.221805598,-28.4521233682,-35.8322489358,41.5076,-0.781315,-0.755246,-1,72.5908418392
GSF-GSF,142035,48834216,106.746661838,-39.0188702637,-67.2305514803,73.1603070268,77.733,0.83916,-2.09666,1,100.635686481,20.9302616494,-4.47736548958,98.333202627,21.4038,2.22958,-0.210742,-1,90.1564829796
GSF-GSF,142035,48834216,11.4163881364,7.91786272037,5.12108977377,-6.43551142416,9.42964,-0.638252,0.574106,1,100.635686481,20.9302616494,-4.47736548958,98.333202627,21.4038,2.22958,-0.210742,-1,57.2525380847
GSF-GSF,142035,48834216,11.4163881364,7.91786272037,5.12108977377,-6.43551142416,9.42964,-0.638252,0.574106,1,106.746661838,-39.0188702637,-67.2305514803,73.1603070268,77.733,0.83916,-2.09666,1,68.4503478977
GSF-GSF,142035,48834216,5.26625435187,-2.40906022136,-1.43896701139,-4.45637043203,2.8061,-1.24266,-2.60315,1,100.635686481,20.9302616494,-4.47736548958,98.333202627,21.4038,2.22958,-0.210742,-1,44.9924833355
GSF-GSF,142035,48834216,5.26625435187,-2.40906022136,-1.43896701139,-4.45637043203,2.8061,-1.24266,-2.60315,1,106.746661838,-39.0188702637,-67.2305514803,73.1603070268,77.733,0.83916,-2.09666,1,37.3481766027
GSF-GSF,142035,48834216,5.26625435187,-2.40906022136,-1.43896701139,-4.45637043203,2.8061,-1.24266,-2.60315,1,11.4163881364,7.91786272037,5.12108977377,-6.43551142416,9.42964,-0.638252,0.574106,1,10.7597647285
GSF-GSF,142035,315669113,45.0339899862,-20.5721026845,-35.2292805368,-19.072142979,40.796,-0.451956,-2.09933,-1,47.394283361,20.6130399825,31.9429061239,28.3014385868,38.0164,0.688704,0.997726,1,91.9075833861
GSF-GSF,142035,98738765,91.3453512709,-25.4142163048,-41.1091778801,77.5121042301,48.3306,1.25099,-2.1245,1,79.8711961159,27.4443021017,36.7089567353,65.4115490284,45.8338,1.15366,0.928821,-1,94.1512200869
GSF-GSF,142035,208406570,57.0655844141,-31.9341346833,19.4304587399,-43.1178529086,37.3809,-0.985843,2.59498,1,39.7502991396,33.2408361127,-21.1788040712,5.15668052814,39.4144,0.130462,-0.567276,-1,89.0365122844
GSF-GSF,142035,171664491,256.393477892,47.5094953914,34.7075911277,249.551290261,58.8368,2.15166,0.63093,-1,123.851193536,-9.41117072034,-38.2892676984,117.40732509,39.4289,1.81137,-1.81181,1,91.9949673568
GSF-GSF,142035,144562178,39.2875385317,-29.4580206128,19.5307867976,17.1547099148,35.3444,0.468078,2.55613,-1,55.2645040134,24.9903321455,-16.2311977592,-46.5424206735,29.7988,-1.22861,-0.576023,1,89.6972891327
GSF-GSF,142036,60177170,95.2457283272,-11.197432921,-30.7639453019,-89.4424168376,32.7384,-1.73012,-1.91987,-1,36.1983382331,16.3547774197,31.7630251589,-5.82676401504,35.7263,-0.16238,1.0953,1,90.4086801736
