Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET,Mt
146944,261362075,75.49,-15.82,34.16,65.43,37.65,1.32,2.00,1,6.89,0.19,25.33
146944,261486323,319.96,-61.38,-38.31,311.67,72.36,2.17,-2.58,-1,21.49,-0.43,69.45
146944,262270955,130.22,-32.14,40.06,119.66,51.36,1.58,2.25,1,26.29,-0.74,73.28
146944,261369300,85.05,-46.10,47.98,-52.97,66.54,-0.73,2.34,1,31.25,0.59,69.92
146944,261578372,90.78,-26.25,-19.47,-84.69,32.68,-1.68,-2.50,-1,39.96,0.55,72.21
146944,261411469,28.41,24.79,6.34,12.35,25.59,0.47,0.25,-1,0.14,1.02,1.40
146944,262420661,82.63,26.39,-41.63,-66.32,49.29,-1.11,-1.01,1,28.76,1.90,74.77
146944,261837486,42.69,-3.89,-30.01,30.12,30.26,0.88,-1.70,1,14.13,-1.81,2.24
146944,261746743,207.31,-35.98,14.48,203.65,38.78,2.36,2.76,1,27.90,0.12,63.75
146944,277845048,71.77,-18.49,26.29,64.17,32.14,1.44,2.18,1,3.53,-0.64,21.04
